Cluster,PEAR1
#02,0
#05,0
#02,0
#03,0
#03,0
#01,0
#08,0
#03,0
#07,0
#01,0
#07,0
#07,0
#04,0
#03,0
#05,0
#01,0
#03,0
#07,0
#01,0
#03,0
#02,0
#01,0
#03,0
#02,0
#03,0
#02,0
#03,0
#05,0
#05,0
#04,0
#05,0
#05,0
#02,0
#02,0
#05,0
#03,0
#02,0
#01,0
#01,0
#07,0
#08,0
#05,0
#06,0
#05,0
#01,0
#03,0
#03,0
#01,0
#04,0
#07,0
#07,0
#01,0
#02,0
#08,0
#05,0
#02,0
#01,0
#08,0
#02,0
#05,0
#02,0
#05,0
#02,0
#03,0
#01,0
#04,0
#05,0
#03,0
#01,0
#03,0
#01,0
#05,0
#03,0
#03,0
#03,0
#06,0
#01,0
#02,0
#06,0
#05,0
#07,0
#01,0
#03,0
#01,0
#03,0
#03,0
#03,0
#05,0
#01,0
#07,0
#04,0
#01,0
#08,0
#06,0
#02,0
#02,0
#06,0
#06,0
#07,0
#03,0
#01,0
#01,0
#06,0
#01,0
#04,0
#01,0
#05,0
#01,0
#07,0
#02,0
#04,0
#06,0
#06,0
#04,0
#07,0
#01,0
#01,0
#08,0
#04,0
#05,0
#02,0
#06,0
#03,0
#04,0
#04,0
#03,0
#01,0
#06,0
#08,0
#08,0
#01,0
#05,0
#01,0
#03,0
#03,0
#05,0
#02,0
#07,0
#01,0
#06,0
#03,0
#03,0
#02,0
#06,0
#01,0
#06,0
#03,0
#03,0
#02,0
#07,0
#07,0
#01,0
#03,0
#02,0
#01,0
#01,0
#01,0
#01,0
#01,0
#06,0
#05,0
#01,0
#02,0
#04,0
#07,0
#02,0
#02,0
#02,0
#01,0
#07,0
#03,0
#05,0
#01,0
#04,0
#08,0
#02,0
#04,0
#01,0
#07,0
#01,0
#02,0
#08,0
#02,0
#03,0
#03,0
#04,0
#03,0
#01,0
#06,0
#04,0
#07,0
#07,0
#02,0
#03,0
#03,0
#02,0
#01,0
#06,0
#08,0
#03,0
#03,0
#03,0
#06,0
#01,0
#01,0
#04,0
#03,0
#08,0
#06,0
#02,0
#01,0
#03,0
#08,0
#03,0
#04,0
#03,0
#07,0
#03,0
#02,0
#03,0
#03,0
#02,0
#01,0
#02,0
#01,0
#03,0
#01,0
#01,0
#02,0
#03,0
#04,0
#07,0
#01,0
#04,0
#05,0
#06,0
#01,0
#02,0
#06,0
#01,0
#05,0
#04,0
#09,0
#03,0
#10,0
#01,0
#02,0
#03,0
#07,0
#07,0
#04,0
#03,0
#07,0
#01,0
#06,0
#02,0
#01,0
#06,0
#01,0
#06,0
#06,0
#01,0
#08,0
#01,0
#06,0
#01,0
#04,0
#05,0.278732648
#01,0
#01,0
#01,0
#01,0
#01,0
#06,0
#01,0
#03,0
#01,0
#03,0
#03,0
#03,0
#01,0
#04,0
#06,0
#02,0
#01,0
#04,0
#06,0
#01,0
#01,0
#01,0
#02,0
#06,0
#02,0
#01,0
#06,0
#08,0
#08,0
#05,0
#01,0
#01,0
#09,0
#05,0
#08,0
#03,0
#07,0
#05,0
#03,0
#03,0
#01,0
#06,0
#02,0
#04,0
#05,0
#07,0
#05,0
#01,0
#02,0
#02,0
#04,0
#04,0.444402419
#02,0
#03,0
#01,0
#03,0
#01,0
#01,0
#02,0
#01,0
#02,0
#01,0
#01,0
#06,0
#02,0
#07,0
#04,0
#06,0
#03,0
#04,0
#02,0
#07,0
#04,0
#01,0
#02,0
#03,0
#01,0
#01,0
#08,0
#07,0
#01,0
#01,0
#03,0
#04,0
#03,0
#07,0
#01,0
#02,0
#03,0
#04,0
#08,0
#02,0
#02,0
#01,0
#01,0
#07,0
#02,0
#03,0
#02,0
#10,0
#01,0
#01,0
#01,0
#01,0
#03,0
#09,0
#01,0
#03,0
#04,0
#02,0
#03,0
#06,0
#01,0
#07,0
#06,0
#02,0
#02,0
#02,0
#04,0
#05,0
#01,0
#01,0
#07,0
#01,0
#02,0
#07,0
#05,0.286678368
#02,0
#01,0
#02,0
#03,0
#01,0
#01,0
#03,0
#08,0
#04,0
#03,0
#02,0
#02,0
#06,0
#04,0
#04,0
#03,0
#02,0
#05,0
#02,0
#01,0
#02,0
#02,0
#01,0
#04,0
#03,0
#07,0
#07,0
#02,0
#06,0
#02,0
#02,0
#02,0
#01,0
#08,0
#08,0
#06,0
#04,0
#01,0
#03,0
#02,0
#01,0
#01,0
#06,0
#07,0
#01,0
#04,0
#03,0
#05,0
#02,0
#05,0
#01,0
#01,0
#03,0
#03,0
#04,0
#04,0
#01,0
#03,0
#02,0
#03,0
#01,0
#06,0
#08,0
#05,0
#07,0
#05,0
#04,0
#01,0
#01,0
#03,0
#02,0
#07,0
#03,0
#01,0
#02,0
#01,0
#03,0
#02,0
#09,0
#04,0
#01,0
#02,0
#01,0
#02,0
#02,0
#03,0
#05,0
#03,0
#03,0
#01,0
#04,0
#01,0
#07,0
#07,0
#06,0
#02,0
#06,0
#02,0
#04,0
#05,0
#01,0
#03,0
#03,0
#01,0
#05,0
#03,0
#01,0
#04,0
#07,0
#02,0
#06,0
#01,0
#01,0
#03,0
#07,0
#03,0
#07,0
#04,0
#03,0
#01,0
#03,0
#04,0
#07,0
#08,0
#01,0
#03,0
#08,0
#04,0
#02,0
#05,0
#08,0
#04,0
#06,0
#07,0
#01,0
#05,0
#07,0
#05,0
#01,0
#02,0
#05,0
#01,0
#03,0
#02,0
#07,0
#05,0
#04,0
#06,0
#01,0
#03,0
#07,0
#04,0
#06,0
#02,0
#06,0
#06,0
#05,0
#04,0
#01,0
#04,0
#05,0
#02,0
#07,0
#05,0
#05,0
#08,0
#01,0
#01,0
#03,0
#03,0
#02,0
#07,0
#01,0
#06,0
#05,0
#04,0
#02,0
#02,0
#05,0
#03,0
#01,0
#03,0
#02,0
#03,0
#03,0
#08,0
#04,0
#04,0
#01,0
#06,0
#01,0
#03,0
#02,0
#06,0
#02,0
#07,0
#05,0
#06,0
#01,0
#06,0
#06,0
#01,0
#06,0
#01,0
#07,0
#05,0
#03,0
#01,0
#07,0
#08,0
#05,0
#03,0
#02,0
#05,0
#07,0
#04,0
#07,0
#04,0
#04,0
#01,0
#06,0
#03,0
#07,0
#02,0
#06,0
#01,0
#09,0
#03,0
#03,0
#05,0
#01,0
#02,0
#02,0
#01,0
#01,0
#05,0
#02,0
#02,0
#02,0
#03,0
#06,0
#02,0
#03,0
#01,0
#02,0
#07,0
#07,0
#07,0
#01,0
#01,0
#04,0
#03,0
#04,0
#05,0
#02,0
#01,0
#06,0
#01,0
#01,0
#05,0
#03,0
#01,0
#02,0
#02,0
#04,0
#03,0
#03,0
#01,0
#05,0
#02,0
#08,0
#01,0
#01,0
#01,0
#06,0
#06,0
#04,0
#06,0
